subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,5000,[0],102,102,5151,5151
2,10000,"[0, 1]",189,142,7811,10011
3,20000,"[0, 3, 5]",253,158,9051,12403
3,15000,"[0, 1, 3]",269,160,9640,12720
3,20000,"[0, 1, 2]",270,160,9696,12720
3,20000,"[0, 1, 4]",266,159,9537,12561
3,20000,"[0, 1, 5]",260,161,9438,12880
2,10000,"[0, 3]",182,140,7450,9730
3,20000,"[0, 3, 2]",263,161,9520,12880
3,20000,"[0, 3, 4]",259,159,9250,12561
2,15000,"[0, 2]",183,143,7611,10153
2,15000,"[0, 5]",173,139,7075,9591
1,5000,[1],87,87,3741,3741
2,15000,"[0, 4]",179,138,7257,9453
3,20000,"[1, 3, 2]",248,155,8507,11935
3,20000,"[1, 3, 4]",244,159,8495,12561
2,20000,"[2, 5]",152,125,5374,7750
2,15000,"[1, 2]",168,131,6315,8515
2,15000,"[1, 4]",164,134,6232,8911
2,15000,"[1, 5]",158,132,5901,8646
2,10000,"[1, 3]",167,133,6340,8778
1,5000,[3],80,80,3160,3160
2,15000,"[3, 2]",161,131,5965,8515
3,20000,"[1, 3, 5]",238,157,8164,12246
2,15000,"[3, 4]",157,130,5735,8385
1,10000,[2],81,81,3240,3240
1,10000,[4],77,77,2926,2926
2,20000,"[2, 4]",158,130,5788,8385
2,15000,"[3, 5]",151,124,5294,7626
1,10000,[5],71,71,2485,2485
2,20000,"[4, 5]",148,120,5033,7140
