subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
0,0,[],0,0,0,0,0.0,0.0,0.0,0.0
1,10000,[2],451,451,101475,101475,0.1252082176568573,0.5926412614980289,0.37015893397145244,0.3509060100975171
2,30000,"[2, 6]",750,574,130626,164451,0.2082176568573015,0.7542706964520368,0.476495500457797,0.5686804066671277
3,55000,"[2, 6, 4]",1111,696,175103,241860,0.3084397556912826,0.9145860709592641,0.6387380124681274,0.8363648938377481
4,80000,"[2, 6, 4, 11]",1308,721,185483,259560,0.3631315935591338,0.9474375821287779,0.6766020157657247,0.8975724462272633
5,125000,"[2, 6, 4, 11, 8]",1553,732,197018,267546,0.4311493614658523,0.961892247043364,0.7186792101816961,0.9251884639324988
7,225000,"[2, 6, 4, 11, 8, 9, 10]",1957,753,213468,283128,0.5433092726263187,0.9894875164257556,0.7786852655039962,0.979071858358116
6,175000,"[2, 6, 4, 11, 8, 9]",1755,741,205597,274170,0.4872293170460855,0.973718791064389,0.7499735535622439,0.9480946123521682
10,445000,"[2, 6, 4, 11, 8, 9, 10, 1, 7, 3]",3150,759,265385,287661,0.8745141588006663,0.9973718791064389,0.9680672943287895,0.9947472162666852
8,295000,"[2, 6, 4, 11, 8, 9, 10, 5]",2291,757,231192,286146,0.636035535813437,0.9947437582128777,0.843338598302321,0.9895082647485995
8,285000,"[2, 6, 4, 11, 8, 9, 10, 1]",2425,756,246083,285390,0.6732370905052748,0.9934296977660972,0.8976577575609453,0.9868939760702676
11,540000,"[2, 6, 4, 11, 8, 9, 10, 7, 5, 12, 3]",3134,760,264570,288420,0.8700721821210439,0.9986859395532195,0.96509434994656,0.9973718791064389
11,540000,"[2, 6, 4, 11, 8, 9, 10, 1, 5, 12, 3]",3313,761,271360,289180,0.9197667962243198,1.0,0.9898628068242753,1.0
9,345000,"[2, 6, 4, 11, 8, 9, 10, 1, 7]",2714,757,253795,286146,0.753470294280955,0.9947437582128777,0.9257894717643239,0.9895082647485995
10,455000,"[2, 6, 4, 11, 8, 9, 10, 7, 5, 3]",3016,760,263351,288420,0.8373126041088285,0.9986859395532195,0.960647700619029,0.9973718791064389
11,500000,"[2, 6, 4, 11, 8, 9, 10, 1, 7, 5, 12]",3166,759,265337,287661,0.8789561354802887,0.9973718791064389,0.9678922006719219,0.9947472162666852
9,385000,"[2, 6, 4, 11, 8, 9, 10, 1, 3]",2861,758,261512,286903,0.7942809550249861,0.9960578186596584,0.9539394248902929,0.9921260114807386
10,415000,"[2, 6, 4, 11, 8, 9, 10, 1, 7, 5]",3048,759,264245,287661,0.8461965574680733,0.9973718791064389,0.9639088199781862,0.9947472162666852
10,455000,"[2, 6, 4, 11, 8, 9, 10, 1, 5, 3]",3195,761,270435,289180,0.8870072182121044,1.0,0.9864886061450578,1.0
9,370000,"[2, 6, 4, 11, 8, 9, 10, 1, 12]",2543,758,247709,286903,0.7059966685174903,0.9960578186596584,0.903589055187332,0.9921260114807386
10,440000,"[2, 6, 4, 11, 8, 9, 10, 1, 5, 12]",2877,759,259287,287661,0.7987229317046085,0.9973718791064389,0.9458231043375805,0.9947472162666852
9,355000,"[2, 6, 4, 11, 8, 9, 10, 7, 5]",2580,757,244324,286146,0.7162687395891172,0.9947437582128777,0.891241304593655,0.9895082647485995
9,370000,"[2, 6, 4, 11, 8, 9, 10, 7, 12]",2364,756,231328,285390,0.6563020544142143,0.9934296977660972,0.843834696996779,0.9868939760702676
8,285000,"[2, 6, 4, 11, 8, 9, 10, 7]",2246,754,229252,283881,0.6235424764019989,0.9908015768725361,0.8362618963372596,0.9816757728750259
9,355000,"[2, 6, 4, 11, 8, 9, 10, 1, 5]",2759,759,258078,287661,0.7659633536923931,0.9973718791064389,0.9414129328552304,0.9947472162666852
12,600000,"[2, 6, 4, 11, 8, 9, 10, 1, 7, 5, 12, 3]",3602,761,274139,289180,1.0,1.0,1.0,1.0
10,470000,"[2, 6, 4, 11, 8, 9, 10, 1, 12, 3]",2979,760,262842,288420,0.8270405330372016,0.9986859395532195,0.9587909782993299,0.9973718791064389
