subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,10000,[2],451,451,101475,101475
2,30000,"[2, 6]",750,574,130626,164451
3,55000,"[2, 6, 4]",1111,696,175103,241860
4,80000,"[2, 6, 4, 11]",1308,721,185483,259560
5,125000,"[2, 6, 4, 11, 8]",1553,732,197018,267546
7,225000,"[2, 6, 4, 11, 8, 9, 10]",1957,753,213468,283128
6,175000,"[2, 6, 4, 11, 8, 9]",1755,741,205597,274170
10,445000,"[2, 6, 4, 11, 8, 9, 10, 1, 7, 3]",3150,759,265385,287661
8,295000,"[2, 6, 4, 11, 8, 9, 10, 5]",2291,757,231192,286146
8,285000,"[2, 6, 4, 11, 8, 9, 10, 1]",2425,756,246083,285390
11,540000,"[2, 6, 4, 11, 8, 9, 10, 7, 5, 12, 3]",3134,760,264570,288420
11,540000,"[2, 6, 4, 11, 8, 9, 10, 1, 5, 12, 3]",3313,761,271360,289180
9,345000,"[2, 6, 4, 11, 8, 9, 10, 1, 7]",2714,757,253795,286146
10,455000,"[2, 6, 4, 11, 8, 9, 10, 7, 5, 3]",3016,760,263351,288420
11,500000,"[2, 6, 4, 11, 8, 9, 10, 1, 7, 5, 12]",3166,759,265337,287661
9,385000,"[2, 6, 4, 11, 8, 9, 10, 1, 3]",2861,758,261512,286903
10,415000,"[2, 6, 4, 11, 8, 9, 10, 1, 7, 5]",3048,759,264245,287661
10,455000,"[2, 6, 4, 11, 8, 9, 10, 1, 5, 3]",3195,761,270435,289180
9,370000,"[2, 6, 4, 11, 8, 9, 10, 1, 12]",2543,758,247709,286903
10,440000,"[2, 6, 4, 11, 8, 9, 10, 1, 5, 12]",2877,759,259287,287661
9,355000,"[2, 6, 4, 11, 8, 9, 10, 7, 5]",2580,757,244324,286146
9,370000,"[2, 6, 4, 11, 8, 9, 10, 7, 12]",2364,756,231328,285390
8,285000,"[2, 6, 4, 11, 8, 9, 10, 7]",2246,754,229252,283881
9,355000,"[2, 6, 4, 11, 8, 9, 10, 1, 5]",2759,759,258078,287661
12,600000,"[2, 6, 4, 11, 8, 9, 10, 1, 7, 5, 12, 3]",3602,761,274139,289180
10,470000,"[2, 6, 4, 11, 8, 9, 10, 1, 12, 3]",2979,760,262842,288420
9,380000,"[2, 6, 4, 11, 8, 9, 10, 5, 12]",2409,757,232963,286146
10,470000,"[2, 6, 4, 11, 8, 9, 10, 7, 12, 3]",2800,759,254198,287661
11,530000,"[2, 6, 4, 11, 8, 9, 10, 1, 7, 12, 3]",3268,760,266627,288420
11,515000,"[2, 6, 4, 11, 8, 9, 10, 1, 7, 5, 3]",3484,761,273286,289180
10,440000,"[2, 6, 4, 11, 8, 9, 10, 7, 5, 12]",2698,757,245943,286146
9,385000,"[2, 6, 4, 11, 8, 9, 10, 7, 3]",2682,757,252537,286146
10,430000,"[2, 6, 4, 11, 8, 9, 10, 1, 7, 12]",2832,758,255288,286903
7,235000,"[2, 6, 4, 11, 8, 9, 1]",2223,754,240502,283881
8,310000,"[2, 6, 4, 11, 8, 9, 10, 12]",2075,756,215712,285390
9,365000,"[2, 6, 4, 11, 8, 9, 1, 7, 5]",2846,759,261436,287661
9,410000,"[2, 6, 4, 11, 8, 9, 10, 12, 3]",2511,759,246339,287661
9,395000,"[2, 6, 4, 11, 8, 9, 10, 5, 3]",2727,760,257116,288420
8,325000,"[2, 6, 4, 11, 8, 9, 10, 3]",2393,756,244570,285390
10,450000,"[2, 6, 4, 11, 8, 9, 1, 7, 5, 12]",2964,759,262719,287661
8,295000,"[2, 6, 4, 11, 8, 9, 1, 7]",2512,756,248879,285390
10,480000,"[2, 6, 4, 11, 8, 9, 10, 5, 12, 3]",2845,760,258427,288420
8,360000,"[2, 6, 4, 11, 8, 9, 12, 3]",2309,757,241341,286146
7,235000,"[2, 6, 4, 11, 8, 9, 7]",2044,752,222394,282376
7,245000,"[2, 6, 4, 11, 8, 9, 5]",2089,756,226100,285390
11,550000,"[2, 6, 4, 11, 8, 9, 1, 7, 5, 12, 3]",3400,761,272485,289180
8,305000,"[2, 6, 4, 11, 8, 9, 1, 5]",2557,759,254787,287661
8,320000,"[2, 6, 4, 11, 8, 9, 7, 12]",2162,755,224811,284635
8,320000,"[2, 6, 4, 11, 8, 9, 1, 12]",2341,756,242452,285390
8,305000,"[2, 6, 4, 11, 8, 9, 7, 5]",2378,757,239997,286146
9,380000,"[2, 6, 4, 11, 8, 9, 1, 7, 12]",2630,757,250675,286146
8,335000,"[2, 6, 4, 11, 8, 9, 7, 3]",2480,756,247885,285390
8,335000,"[2, 6, 4, 11, 8, 9, 1, 3]",2659,756,257465,285390
8,330000,"[2, 6, 4, 11, 8, 9, 5, 12]",2207,757,228119,286146
10,465000,"[2, 6, 4, 11, 8, 9, 1, 7, 5, 3]",3282,761,271465,289180
9,395000,"[2, 6, 4, 11, 8, 9, 1, 7, 3]",2948,758,261786,286903
9,390000,"[2, 6, 4, 11, 8, 9, 7, 5, 12]",2496,757,241844,286146
9,420000,"[2, 6, 4, 11, 8, 9, 1, 12, 3]",2777,758,259091,286903
10,480000,"[2, 6, 4, 11, 8, 9, 1, 7, 12, 3]",3066,759,263306,287661
9,390000,"[2, 6, 4, 11, 8, 9, 1, 5, 12]",2675,759,256206,287661
10,490000,"[2, 6, 4, 11, 8, 9, 7, 5, 12, 3]",2932,760,262161,288420
9,405000,"[2, 6, 4, 11, 8, 9, 1, 5, 3]",2993,761,268325,289180
10,490000,"[2, 6, 4, 11, 8, 9, 1, 5, 12, 3]",3111,761,269433,289180
9,420000,"[2, 6, 4, 11, 8, 9, 7, 12, 3]",2598,758,249849,286903
9,405000,"[2, 6, 4, 11, 8, 9, 7, 5, 3]",2814,760,260751,288420
7,260000,"[2, 6, 4, 11, 8, 9, 12]",1873,747,208204,278631
8,345000,"[2, 6, 4, 11, 8, 9, 5, 3]",2525,760,254051,288420
6,175000,"[2, 6, 4, 11, 8, 10]",1755,749,205230,280126
7,275000,"[2, 6, 4, 11, 8, 9, 3]",2191,753,239250,283128
8,295000,"[2, 6, 4, 11, 8, 10, 1, 7]",2512,756,249242,285390
11,550000,"[2, 6, 4, 11, 8, 10, 1, 7, 5, 12, 3]",3400,761,271730,289180
