subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
0,0,[],0,0,0,0,0.0,0.0,0.0,0.0
1,10000,[1],203,203,20503,20503,0.10485537190082644,0.7777777777777778,0.6042735042735042,0.6042735042735042
2,30000,"[1, 5]",373,226,24137,25425,0.19266528925619836,0.8659003831417624,0.711376363100501,0.7493368700265252
3,55000,"[1, 5, 4]",556,247,28245,30381,0.2871900826446281,0.946360153256705,0.832449160035367,0.8954022988505748
5,125000,"[1, 5, 4, 7, 11]",844,256,30056,32640,0.4359504132231405,0.9808429118773946,0.885823754789272,0.9619805481874447
4,80000,"[1, 5, 4, 7]",710,252,29308,31626,0.36673553719008267,0.9655172413793104,0.8637783672266431,0.9320954907161804
6,175000,"[1, 5, 4, 7, 11, 9]",984,256,30344,32640,0.5082644628099173,0.9808429118773946,0.8943118184497495,0.9619805481874447
7,225000,"[1, 5, 4, 7, 11, 9, 10]",1124,258,30935,33153,0.5805785123966942,0.9885057471264368,0.9117300324196876,0.9770999115826702
8,285000,"[1, 5, 4, 7, 11, 9, 10, 2]",1319,258,31910,33153,0.681301652892562,0.9885057471264368,0.9404656646035956,0.9770999115826702
9,345000,"[1, 5, 4, 7, 11, 9, 10, 2, 8]",1469,258,32169,33153,0.7587809917355371,0.9885057471264368,0.9480990274093722,0.9770999115826702
10,415000,"[1, 5, 4, 7, 11, 9, 10, 2, 8, 6]",1631,259,32730,33411,0.8424586776859504,0.9923371647509579,0.964633068081344,0.9847038019451813
11,500000,"[1, 5, 4, 7, 11, 9, 10, 2, 8, 6, 12]",1744,259,32779,33411,0.9008264462809917,0.9923371647509579,0.9660772178013557,0.9847038019451813
12,600000,"[1, 5, 4, 7, 11, 9, 10, 2, 8, 6, 12, 3]",1936,259,32969,33411,1.0,0.9923371647509579,0.9716769820218096,0.9847038019451813
11,515000,"[1, 5, 4, 7, 11, 9, 10, 2, 8, 6, 3]",1823,259,32930,33411,0.9416322314049587,0.9923371647509579,0.9705275567344532,0.9847038019451813
9,355000,"[1, 5, 4, 7, 11, 9, 10, 2, 6]",1481,259,32534,33411,0.7649793388429752,0.9923371647509579,0.9588564692012967,0.9847038019451813
10,430000,"[1, 5, 4, 7, 11, 9, 10, 2, 8, 12]",1582,258,32248,33153,0.8171487603305785,0.9885057471264368,0.9504273504273504,0.9770999115826702
10,440000,"[1, 5, 4, 7, 11, 9, 10, 8, 6, 12]",1549,259,32411,33411,0.800103305785124,0.9923371647509579,0.9552313586796345,0.9847038019451813
11,530000,"[1, 5, 4, 7, 11, 9, 10, 2, 8, 12, 3]",1774,258,32553,33153,0.9163223140495868,0.9885057471264368,0.9594164456233422,0.9770999115826702
10,440000,"[1, 5, 4, 7, 11, 9, 10, 2, 6, 12]",1594,259,32593,33411,0.8233471074380165,0.9923371647509579,0.960595343353964,0.9847038019451813
10,445000,"[1, 5, 4, 7, 11, 9, 10, 2, 8, 3]",1661,258,32493,33153,0.8579545454545454,0.9885057471264368,0.9576480990274093,0.9770999115826702
9,370000,"[1, 5, 4, 7, 11, 9, 10, 2, 12]",1432,258,32013,33153,0.7396694214876033,0.9885057471264368,0.943501326259947,0.9770999115826702
9,355000,"[1, 5, 4, 7, 11, 9, 10, 8, 6]",1436,259,32328,33411,0.7417355371900827,0.9923371647509579,0.9527851458885942,0.9847038019451813
9,385000,"[1, 5, 4, 7, 11, 9, 10, 2, 3]",1511,258,32397,33153,0.7804752066115702,0.9885057471264368,0.9548187444739169,0.9770999115826702
10,470000,"[1, 5, 4, 7, 11, 9, 10, 2, 12, 3]",1624,258,32463,33153,0.8388429752066116,0.9885057471264368,0.956763925729443,0.9770999115826702
9,380000,"[1, 5, 4, 7, 11, 9, 10, 6, 12]",1399,259,31988,33411,0.7226239669421488,0.9923371647509579,0.9427645151783083,0.9847038019451813
8,285000,"[1, 5, 4, 7, 11, 9, 10, 8]",1274,258,31539,33153,0.6580578512396694,0.9885057471264368,0.9295313881520778,0.9770999115826702
10,455000,"[1, 5, 4, 7, 11, 9, 10, 2, 6, 3]",1673,259,32852,33411,0.8641528925619835,0.9923371647509579,0.9682287061597407,0.9847038019451813
11,540000,"[1, 5, 4, 7, 11, 9, 10, 2, 6, 12, 3]",1786,259,32895,33411,0.9225206611570248,0.9923371647509579,0.9694960212201591,0.9847038019451813
8,310000,"[1, 5, 4, 7, 11, 9, 10, 12]",1237,258,31098,33153,0.6389462809917356,0.9885057471264368,0.9165340406719718,0.9770999115826702
8,295000,"[1, 5, 4, 7, 11, 9, 10, 6]",1286,259,31891,33411,0.6642561983471075,0.9923371647509579,0.9399056881815503,0.9847038019451813
10,480000,"[1, 5, 4, 7, 11, 9, 10, 6, 12, 3]",1591,259,32561,33411,0.8217975206611571,0.9923371647509579,0.9596522251694666,0.9847038019451813
9,395000,"[1, 5, 4, 7, 11, 9, 10, 6, 3]",1478,259,32489,33411,0.7634297520661157,0.9923371647509579,0.9575302092543472,0.9847038019451813
7,235000,"[1, 5, 4, 7, 11, 9, 2]",1179,257,31545,32896,0.6089876033057852,0.9846743295019157,0.9297082228116711,0.9695254936634247
8,325000,"[1, 5, 4, 7, 11, 9, 10, 3]",1316,258,31869,33153,0.6797520661157025,0.9885057471264368,0.9392572944297082,0.9770999115826702
9,385000,"[1, 5, 4, 7, 11, 9, 10, 8, 3]",1466,258,32118,33153,0.7572314049586777,0.9885057471264368,0.9465959328028294,0.9770999115826702
10,470000,"[1, 5, 4, 7, 11, 9, 10, 8, 12, 3]",1579,258,32223,33153,0.815599173553719,0.9885057471264368,0.9496905393457118,0.9770999115826702
9,410000,"[1, 5, 4, 7, 11, 9, 10, 12, 3]",1429,258,31981,33153,0.7381198347107438,0.9885057471264368,0.9425582080754494,0.9770999115826702
10,455000,"[1, 5, 4, 7, 11, 9, 10, 8, 6, 3]",1628,259,32677,33411,0.8409090909090909,0.9923371647509579,0.96307102858827,0.9847038019451813
8,295000,"[1, 5, 4, 7, 11, 9, 2, 8]",1329,258,31934,33153,0.6864669421487604,0.9885057471264368,0.9411730032419687,0.9770999115826702
9,370000,"[1, 5, 4, 7, 11, 9, 10, 8, 12]",1387,258,31671,33153,0.7164256198347108,0.9885057471264368,0.9334217506631299,0.9770999115826702
11,550000,"[1, 5, 4, 7, 11, 9, 2, 8, 6, 12, 3]",1796,259,32911,33411,0.9276859504132231,0.9923371647509579,0.9699675803124079,0.9847038019451813
9,380000,"[1, 5, 4, 7, 11, 9, 2, 8, 12]",1442,258,32033,33153,0.7448347107438017,0.9885057471264368,0.9440907751252579,0.9770999115826702
11,540000,"[1, 5, 4, 7, 11, 9, 10, 8, 6, 12, 3]",1741,259,32744,33411,0.8992768595041323,0.9923371647509579,0.9650456822870616,0.9847038019451813
10,450000,"[1, 5, 4, 7, 11, 9, 2, 8, 6, 12]",1604,259,32648,33411,0.8285123966942148,0.9923371647509579,0.9622163277335691,0.9847038019451813
9,365000,"[1, 5, 4, 7, 11, 9, 2, 8, 6]",1491,259,32592,33411,0.7701446280991735,0.9923371647509579,0.9605658709106984,0.9847038019451813
8,320000,"[1, 5, 4, 7, 11, 9, 2, 12]",1292,257,31670,32896,0.6673553719008265,0.9846743295019157,0.9333922782198645,0.9695254936634247
7,235000,"[1, 5, 4, 7, 11, 9, 8]",1134,258,31219,33153,0.5857438016528925,0.9885057471264368,0.9201002063071029,0.9770999115826702
10,465000,"[1, 5, 4, 7, 11, 9, 2, 8, 6, 3]",1683,259,32865,33411,0.8693181818181818,0.9923371647509579,0.9686118479221928,0.9847038019451813
8,335000,"[1, 5, 4, 7, 11, 9, 2, 3]",1371,258,32234,33153,0.7081611570247934,0.9885057471264368,0.9500147362216328,0.9770999115826702
9,390000,"[1, 5, 4, 7, 11, 9, 2, 6, 12]",1454,258,32341,33153,0.7510330578512396,0.9885057471264368,0.9531682876510462,0.9770999115826702
9,405000,"[1, 5, 4, 7, 11, 9, 2, 6, 3]",1533,259,32758,33411,0.7918388429752066,0.9923371647509579,0.9654582964927793,0.9847038019451813
9,420000,"[1, 5, 4, 7, 11, 9, 2, 12, 3]",1484,258,32321,33153,0.7665289256198347,0.9885057471264368,0.9525788387857353,0.9770999115826702
8,305000,"[1, 5, 4, 7, 11, 9, 2, 6]",1341,258,32273,33153,0.6926652892561983,0.9885057471264368,0.9511641615089891,0.9770999115826702
