method,committee,k,alpha_PAIRS,alpha_CONS,alpha_EJR
MES,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",12,0.9716769820218096,0.9847038019451811,1.0
AV,[0],1,1.0,1.0,1.0
greedy-AV/cost,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",12,0.9716769820218096,0.9847038019451811,1.0
greedy-AV/cost^2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",12,0.9716769820218096,0.9847038019451811,1.0
greedy-CC,[0],1,1.0,1.0,1.0
greedy-PAV,[0],1,1.0,1.0,1.0
PAIRS-AV,[0],1,1.0,1.0,1.0
PAIRS-CC,[0],1,1.0,1.0,1.0
CONS-AV,[0],1,1.0,1.0,1.0
CONS-CC,[0],1,1.0,1.0,1.0
