subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,10000,[1],203,203,20503,20503
2,30000,"[1, 5]",373,226,24137,25425
5,125000,"[1, 5, 4, 7, 11]",844,256,30056,32640
6,175000,"[1, 5, 4, 7, 11, 9]",984,256,30344,32640
7,225000,"[1, 5, 4, 7, 11, 9, 10]",1124,258,30935,33153
3,55000,"[1, 5, 4]",556,247,28245,30381
4,80000,"[1, 5, 4, 7]",710,252,29308,31626
8,285000,"[1, 5, 4, 7, 11, 9, 10, 2]",1319,258,31910,33153
12,600000,"[1, 5, 4, 7, 11, 9, 10, 2, 8, 6, 12, 3]",1936,259,32969,33411
10,430000,"[1, 5, 4, 7, 11, 9, 10, 2, 8, 12]",1582,258,32248,33153
9,345000,"[1, 5, 4, 7, 11, 9, 10, 2, 8]",1469,258,32169,33153
10,415000,"[1, 5, 4, 7, 11, 9, 10, 2, 8, 6]",1631,259,32730,33411
11,500000,"[1, 5, 4, 7, 11, 9, 10, 2, 8, 6, 12]",1744,259,32779,33411
11,515000,"[1, 5, 4, 7, 11, 9, 10, 2, 8, 6, 3]",1823,259,32930,33411
11,530000,"[1, 5, 4, 7, 11, 9, 10, 2, 8, 12, 3]",1774,258,32553,33153
10,445000,"[1, 5, 4, 7, 11, 9, 10, 2, 8, 3]",1661,258,32493,33153
10,440000,"[1, 5, 4, 7, 11, 9, 10, 2, 6, 12]",1594,259,32593,33411
9,355000,"[1, 5, 4, 7, 11, 9, 10, 2, 6]",1481,259,32534,33411
9,355000,"[1, 5, 4, 7, 11, 9, 10, 8, 6]",1436,259,32328,33411
11,540000,"[1, 5, 4, 7, 11, 9, 10, 2, 6, 12, 3]",1786,259,32895,33411
8,285000,"[1, 5, 4, 7, 11, 9, 10, 8]",1274,258,31539,33153
10,470000,"[1, 5, 4, 7, 11, 9, 10, 2, 12, 3]",1624,258,32463,33153
11,540000,"[1, 5, 4, 7, 11, 9, 10, 8, 6, 12, 3]",1741,259,32744,33411
9,385000,"[1, 5, 4, 7, 11, 9, 10, 2, 3]",1511,258,32397,33153
8,310000,"[1, 5, 4, 7, 11, 9, 10, 12]",1237,258,31098,33153
8,295000,"[1, 5, 4, 7, 11, 9, 10, 6]",1286,259,31891,33411
9,395000,"[1, 5, 4, 7, 11, 9, 10, 6, 3]",1478,259,32489,33411
10,470000,"[1, 5, 4, 7, 11, 9, 10, 8, 12, 3]",1579,258,32223,33153
9,370000,"[1, 5, 4, 7, 11, 9, 10, 8, 12]",1387,258,31671,33153
8,295000,"[1, 5, 4, 7, 11, 9, 2, 8]",1329,258,31934,33153
8,325000,"[1, 5, 4, 7, 11, 9, 10, 3]",1316,258,31869,33153
10,455000,"[1, 5, 4, 7, 11, 9, 10, 2, 6, 3]",1673,259,32852,33411
9,410000,"[1, 5, 4, 7, 11, 9, 10, 12, 3]",1429,258,31981,33153
10,480000,"[1, 5, 4, 7, 11, 9, 10, 6, 12, 3]",1591,259,32561,33411
9,370000,"[1, 5, 4, 7, 11, 9, 10, 2, 12]",1432,258,32013,33153
10,440000,"[1, 5, 4, 7, 11, 9, 10, 8, 6, 12]",1549,259,32411,33411
7,235000,"[1, 5, 4, 7, 11, 9, 2]",1179,257,31545,32896
9,385000,"[1, 5, 4, 7, 11, 9, 10, 8, 3]",1466,258,32118,33153
10,465000,"[1, 5, 4, 7, 11, 9, 2, 8, 6, 3]",1683,259,32865,33411
9,365000,"[1, 5, 4, 7, 11, 9, 2, 8, 6]",1491,259,32592,33411
9,380000,"[1, 5, 4, 7, 11, 9, 10, 6, 12]",1399,259,31988,33411
10,455000,"[1, 5, 4, 7, 11, 9, 10, 8, 6, 3]",1628,259,32677,33411
9,390000,"[1, 5, 4, 7, 11, 9, 2, 6, 12]",1454,258,32341,33153
9,395000,"[1, 5, 4, 7, 11, 9, 2, 8, 3]",1521,258,32363,33153
10,450000,"[1, 5, 4, 7, 11, 9, 2, 8, 6, 12]",1604,259,32648,33411
9,405000,"[1, 5, 4, 7, 11, 9, 2, 6, 3]",1533,259,32758,33411
8,335000,"[1, 5, 4, 7, 11, 9, 2, 3]",1371,258,32234,33153
8,305000,"[1, 5, 4, 7, 11, 9, 8, 6]",1296,259,32147,33411
11,550000,"[1, 5, 4, 7, 11, 9, 2, 8, 6, 12, 3]",1796,259,32911,33411
9,390000,"[1, 5, 4, 7, 11, 9, 8, 6, 12]",1409,259,32238,33411
9,420000,"[1, 5, 4, 7, 11, 9, 2, 12, 3]",1484,258,32321,33153
