subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
0,0,[],0,0,0,0,0.0,0.0,0.0,0.0
1,2850,[1],208,208,21528,21528,0.10771620921802175,0.7455197132616488,0.5920629245620308,0.5551171965653284
2,7950,"[1, 2]",393,229,25182,26106,0.20352149145520457,0.8207885304659498,0.6925552102527434,0.6731646940512106
3,13050,"[1, 2, 8]",545,229,25262,26106,0.28223718280683585,0.8207885304659498,0.694755369764308,0.6731646940512106
4,21050,"[1, 2, 8, 10]",672,232,25682,26796,0.34800621439668566,0.8315412186379928,0.706306207200022,0.690956911889843
5,33050,"[1, 2, 8, 10, 3]",851,253,29461,31878,0.4407042982910409,0.9068100358422939,0.8102362421275543,0.8220004641448132
6,48050,"[1, 2, 8, 10, 3, 7]",1005,265,31622,34980,0.5204557224236147,0.9498207885304659,0.8696680509336927,0.901988086949795
7,64050,"[1, 2, 8, 10, 3, 7, 12]",1111,266,31772,35245,0.5753495598135681,0.953405017921147,0.8737933500178763,0.908821330032748
8,80900,"[1, 2, 8, 10, 3, 7, 12, 0]",1324,268,34278,35778,0.6856551009839461,0.9605734767025089,0.9427133467176371,0.9225651736675176
9,110900,"[1, 2, 8, 10, 3, 7, 12, 0, 5]",1487,271,35082,36585,0.7700673226307613,0.9713261648745519,0.9648249498088611,0.943374332791831
10,143900,"[1, 2, 8, 10, 3, 7, 12, 0, 5, 4]",1654,274,35803,37401,0.8565510098394614,0.982078853046595,0.984653887406837,0.9644155643227353
11,183900,"[1, 2, 8, 10, 3, 7, 12, 0, 5, 4, 6]",1816,275,36100,37675,0.9404453650958052,0.985663082437276,0.9928219795935205,0.9714808798122793
12,308900,"[1, 2, 8, 10, 3, 7, 12, 0, 5, 4, 6, 11]",1931,276,36264,37950,1.0,0.989247311827957,0.9973323065922279,0.9785719811247776
11,268900,"[1, 2, 8, 10, 3, 7, 12, 0, 5, 4, 11]",1769,275,35968,37675,0.9161056447436562,0.985663082437276,0.9891917163994389,0.9714808798122793
10,150900,"[1, 2, 8, 10, 3, 7, 12, 0, 5, 6]",1649,272,35400,36856,0.8539616778871051,0.974910394265233,0.9735705838673304,0.9503622908125113
11,275900,"[1, 2, 8, 10, 3, 7, 12, 0, 5, 6, 11]",1764,273,35564,37128,0.9135163127912999,0.978494623655914,0.9780809108660378,0.9573760346561461
10,235900,"[1, 2, 8, 10, 3, 7, 12, 0, 5, 11]",1602,272,35247,36856,0.8296219575349559,0.974910394265233,0.9693627788014632,0.9503622908125113
9,113900,"[1, 2, 8, 10, 3, 7, 12, 0, 4]",1491,271,35030,36585,0.7721387881926463,0.9713261648745519,0.9633948461263442,0.943374332791831
