method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
MES,12,308900,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]",1931,276,36264,37950,1.0,0.989247311827957,0.9973323065922279,0.9785719811247776
AV,12,308900,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]",1931,276,36264,37950,1.0,0.989247311827957,0.9973323065922279,0.9785719811247776
greedy-AV/cost,12,308900,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]",1931,276,36264,37950,1.0,0.989247311827957,0.9973323065922279,0.9785719811247776
greedy-AV/cost^2,12,308900,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]",1931,276,36264,37950,1.0,0.989247311827957,0.9973323065922279,0.9785719811247776
greedy-CC,6,497700,"[0, 1, 4, 5, 7, 9]",1041,279,36160,38781,0.5390989124805801,1.0,0.9944720992271939,1.0
greedy-PAV,7,499800,"[0, 1, 2, 3, 4, 5, 9]",1251,278,36361,38503,0.6478508544795443,0.996415770609319,1.0,0.992831541218638
PAIRS-AV,7,499800,"[0, 1, 2, 3, 4, 5, 9]",1251,278,36361,38503,0.6478508544795443,0.996415770609319,1.0,0.992831541218638
PAIRS-CC,7,499800,"[0, 1, 2, 3, 4, 5, 9]",1251,278,36361,38503,0.6478508544795443,0.996415770609319,1.0,0.992831541218638
CONS-AV,8,499050,"[1, 2, 4, 5, 7, 8, 9, 10]",1292,279,35023,38781,0.6690833764888658,1.0,0.9632023321690822,1.0
CONS-CC,8,499050,"[1, 2, 4, 5, 7, 8, 9, 10]",1292,279,35023,38781,0.6690833764888658,1.0,0.9632023321690822,1.0
