subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,50000,[1],213,213,22578,22578
2,100000,"[1, 4]",356,222,23820,24531
3,175000,"[1, 4, 6]",454,226,24337,25425
4,266000,"[1, 4, 6, 2]",620,232,25720,26796
5,366000,"[1, 4, 6, 2, 5]",761,234,26416,27261
6,466000,"[1, 4, 6, 2, 3, 5]",912,237,27349,27966
5,366000,"[1, 4, 6, 2, 3]",771,236,26971,27730
4,275000,"[1, 4, 6, 5]",595,230,25399,26335
4,275000,"[1, 4, 6, 3]",605,236,26287,27730
3,191000,"[1, 4, 2]",522,229,25308,26106
5,375000,"[1, 4, 6, 3, 5]",746,237,26886,27966
3,200000,"[1, 4, 3]",507,235,25992,27495
4,291000,"[1, 4, 2, 5]",663,234,26213,27261
5,391000,"[1, 4, 2, 3, 5]",814,237,27246,27966
4,300000,"[1, 4, 3, 5]",648,237,26733,27966
3,200000,"[1, 4, 5]",497,230,25132,26335
4,291000,"[1, 4, 2, 3]",673,236,26767,27730
5,416000,"[1, 6, 2, 3, 5]",769,237,27221,27966
2,125000,"[4, 6]",241,174,12695,15051
1,50000,[4],143,143,10153,10153
2,125000,"[1, 6]",311,222,23415,24531
4,325000,"[1, 6, 3, 5]",603,237,26606,27966
4,316000,"[1, 6, 2, 3]",628,236,26715,27730
3,216000,"[4, 6, 2]",407,220,20290,24090
3,241000,"[1, 2, 5]",520,232,25750,26796
4,316000,"[4, 6, 2, 3]",558,234,24084,27261
3,216000,"[1, 6, 2]",477,232,25284,26796
3,225000,"[1, 6, 3]",462,234,25730,27261
2,141000,"[1, 2]",379,226,24645,25425
3,225000,"[1, 6, 5]",452,230,24867,26335
2,141000,"[4, 2]",309,209,18898,21736
3,225000,"[4, 6, 3]",392,219,19355,23871
1,75000,[6],98,98,4753,4753
4,325000,"[4, 6, 3, 5]",533,229,22272,26106
2,150000,"[1, 5]",354,226,24320,25425
4,316000,"[1, 6, 2, 5]",618,234,26140,27261
3,241000,"[4, 2, 3]",460,234,23298,27261
2,166000,"[6, 2]",264,196,16170,19110
4,316000,"[4, 6, 2, 5]",548,229,22965,26106
3,241000,"[1, 2, 3]",530,235,26369,27495
4,341000,"[1, 2, 3, 5]",671,237,27016,27966
3,241000,"[4, 2, 5]",450,226,22157,25425
2,191000,"[2, 5]",307,212,19100,22366
2,150000,"[4, 5]",284,195,16107,18915
2,150000,"[1, 3]",364,232,25257,26796
3,250000,"[4, 3, 5]",435,226,21252,25425
2,150000,"[4, 3]",294,206,17650,21115
3,266000,"[6, 2, 5]",405,223,20606,24753
1,91000,[2],166,166,13695,13695
4,341000,"[4, 2, 3, 5]",601,236,25055,27730
3,250000,"[1, 3, 5]",505,237,26315,27966
2,175000,"[6, 3]",249,193,14538,18528
3,266000,"[6, 2, 3]",415,227,21571,25651
4,366000,"[6, 2, 3, 5]",556,234,24065,27261
2,191000,"[2, 3]",317,216,19970,23220
3,291000,"[2, 3, 5]",458,231,23081,26565
1,100000,[5],141,141,9870,9870
1,100000,[3],151,151,11325,11325
3,275000,"[6, 3, 5]",390,221,19276,24310
1,1000000,[0],244,244,29646,29646
5,416000,"[4, 6, 2, 3, 5]",699,236,25531,27730
3,225000,"[4, 6, 5]",382,206,17639,21115
2,200000,"[3, 5]",292,202,17190,20301
2,175000,"[6, 5]",239,178,12793,15753
