subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,7000,[6],187,187,17391,17391
4,122000,"[6, 0, 3, 1]",3060,1382,874035,954271
2,22000,"[6, 0]",1265,1139,590019,648091
3,56000,"[6, 0, 5]",1748,1248,644015,778128
2,41000,"[6, 5]",670,602,131516,180901
4,96000,"[6, 0, 5, 2]",2663,1370,812446,937765
3,62000,"[6, 0, 2]",2180,1337,773328,893116
3,87000,"[6, 2, 3]",1906,1259,618389,791911
4,96000,"[6, 0, 5, 3]",2552,1374,788663,943251
3,62000,"[6, 0, 3]",2069,1336,749925,891780
4,96000,"[6, 0, 5, 4]",2436,1335,729299,890445
3,62000,"[6, 0, 4]",1953,1279,687965,817281
4,116000,"[6, 0, 5, 1]",2739,1375,843037,944625
3,81000,"[6, 5, 3]",1474,1131,426790,639015
4,102000,"[6, 0, 2, 4]",2868,1369,833354,936396
3,81000,"[6, 5, 2]",1585,1222,521254,746031
3,81000,"[6, 5, 4]",1358,1003,336831,502503
4,102000,"[6, 0, 2, 3]",2984,1381,858102,952890
4,102000,"[6, 0, 3, 4]",2757,1371,819492,939135
3,82000,"[6, 0, 1]",2256,1354,810592,915981
2,47000,"[6, 2]",1102,1009,431268,508536
5,136000,"[6, 0, 5, 2, 3]",3467,1392,884897,968136
5,136000,"[6, 0, 5, 3, 4]",3240,1380,847293,951510
5,136000,"[6, 0, 5, 2, 4]",3351,1379,861685,950131
4,121000,"[6, 5, 2, 4]",2273,1338,656972,894453
4,121000,"[6, 5, 2, 3]",2389,1345,686521,903840
4,121000,"[6, 5, 3, 4]",2162,1318,589154,867903
4,122000,"[6, 0, 4, 1]",2944,1371,859380,939135
4,122000,"[6, 0, 2, 1]",3171,1374,873008,943251
4,141000,"[6, 5, 2, 1]",2576,1344,739107,902496
4,141000,"[6, 5, 3, 1]",2465,1334,710368,889111
5,142000,"[6, 0, 2, 3, 4]",3672,1389,897432,963966
1,15000,[0],1078,1078,580503,580503
2,47000,"[6, 3]",991,923,337919,425503
4,141000,"[6, 5, 4, 1]",2349,1343,701480,901153
3,101000,"[6, 5, 1]",1661,1250,582678,780625
4,147000,"[6, 2, 3, 1]",2897,1336,769889,891780
4,127000,"[6, 2, 3, 4]",2594,1357,742728,920046
2,49000,"[0, 5]",1561,1211,635831,732655
2,47000,"[6, 4]",875,806,251373,324415
2,67000,"[6, 1]",1178,1070,502158,571915
3,87000,"[6, 2, 4]",1790,1265,592650,799480
3,107000,"[6, 2, 1]",2093,1252,675715,783126
3,107000,"[6, 3, 1]",1982,1252,648453,783126
3,107000,"[6, 4, 1]",1866,1290,645168,831405
3,87000,"[6, 3, 4]",1679,1253,525950,784378
3,95000,"[0, 3, 4]",2570,1362,813105,926841
4,147000,"[6, 2, 4, 1]",2781,1347,775994,906531
3,89000,"[0, 5, 2]",2476,1360,806771,924120
2,55000,"[0, 2]",1993,1311,766437,858705
3,89000,"[0, 5, 3]",2365,1363,782195,928203
4,147000,"[6, 3, 4, 1]",2670,1351,760212,911925
4,129000,"[0, 5, 2, 3]",3280,1388,880481,962578
3,109000,"[0, 5, 1]",2552,1367,838451,933661
3,89000,"[0, 5, 4]",2249,1314,722323,862641
4,129000,"[0, 5, 2, 4]",3164,1375,857083,944625
3,95000,"[0, 2, 3]",2797,1371,852623,939135
4,149000,"[0, 5, 2, 1]",3467,1382,893276,954271
3,115000,"[0, 2, 1]",2984,1366,868842,932295
4,149000,"[0, 5, 4, 1]",3240,1378,878759,948753
4,129000,"[0, 5, 3, 4]",3053,1377,841937,947376
4,149000,"[0, 5, 3, 1]",3356,1388,893139,962578
4,135000,"[0, 2, 3, 4]",3485,1385,893078,958420
1,34000,[5],483,483,116403,116403
3,115000,"[0, 3, 1]",2873,1378,869620,948753
2,55000,"[0, 3]",1882,1314,742281,862641
2,55000,"[0, 4]",1766,1242,679805,770661
3,95000,"[0, 2, 4]",2681,1357,827684,920046
3,134000,"[5, 3, 1]",2278,1315,702133,863955
3,115000,"[0, 4, 1]",2757,1365,854792,930930
2,75000,"[0, 1]",2069,1339,804963,895791
2,74000,"[5, 2]",1398,1177,510248,692076
3,134000,"[5, 4, 1]",2162,1327,693513,879801
1,40000,[2],915,915,418155,418155
2,74000,"[5, 3]",1287,1061,413784,562330
1,60000,[1],991,991,490545,490545
3,114000,"[5, 2, 4]",2086,1320,647888,870540
2,74000,"[5, 4]",1171,930,323811,431985
3,114000,"[5, 2, 3]",2202,1320,677129,870540
2,94000,"[5, 1]",1474,1213,573018,735078
3,134000,"[5, 2, 1]",2389,1330,732024,883785
1,40000,[3],804,804,322806,322806
2,100000,"[3, 1]",1795,1203,638415,723003
2,100000,"[2, 1]",1906,1210,666840,731445
2,100000,"[4, 1]",1679,1251,635495,781875
3,114000,"[5, 3, 4]",1975,1282,578139,821121
2,80000,"[2, 3]",1719,1201,607058,720600
1,40000,[4],688,688,236328,236328
2,80000,"[2, 4]",1603,1221,581712,744810
3,120000,"[2, 3, 4]",2407,1337,733470,893116
3,140000,"[2, 3, 1]",2710,1308,762213,854778
3,140000,"[3, 4, 1]",2483,1331,752015,885115
2,80000,"[3, 4]",1492,1188,513078,705078
3,140000,"[2, 4, 1]",2594,1333,768909,887778
