subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,10000,[0],400,400,79800,79800
2,28000,"[0, 1]",778,489,109437,119316
1,18000,[1],378,378,71253,71253
2,60000,"[0, 4]",593,442,87003,97461
4,98000,"[0, 1, 3, 2]",1449,517,123662,133386
2,48000,"[1, 3]",683,418,82633,87153
2,40000,"[0, 3]",705,459,96025,105111
3,88000,"[1, 3, 2]",1049,510,112545,129795
3,58000,"[0, 1, 3]",1083,496,113260,122760
2,50000,"[0, 2]",766,458,99317,104653
3,100000,"[0, 2, 4]",959,494,106091,121771
3,78000,"[0, 1, 4]",971,497,114243,123256
3,80000,"[0, 3, 2]",1071,499,111447,124251
3,90000,"[0, 3, 4]",898,468,101974,109278
3,68000,"[0, 1, 2]",1144,513,120709,131328
1,30000,[3],305,305,46360,46360
1,40000,[2],366,366,66795,66795
2,68000,"[1, 4]",571,483,85953,116403
1,50000,[4],193,193,18528,18528
2,80000,"[3, 4]",498,443,63403,97903
2,70000,"[3, 2]",671,434,85189,93961
2,90000,"[2, 4]",559,484,82548,116886
2,58000,"[1, 2]",744,484,104378,116886
3,98000,"[1, 3, 4]",876,500,96344,124750
