subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,25000,[3],89,89,3916,3916
2,50000,"[3, 10]",132,115,4683,6555
3,75300,"[3, 10, 8]",188,151,6049,11325
5,230300,"[3, 10, 8, 1, 4]",388,212,14536,22366
5,205300,"[3, 10, 8, 1, 2]",426,218,16661,23653
5,235300,"[3, 10, 8, 1, 0]",459,212,17134,22366
5,235300,"[3, 10, 8, 1, 5]",388,213,14537,22578
4,135300,"[3, 10, 8, 1]",322,200,13215,19900
5,235300,"[3, 10, 8, 1, 6]",383,214,14500,22791
5,235300,"[3, 10, 8, 1, 7]",381,205,14231,20910
5,235300,"[3, 10, 8, 1, 9]",372,212,14039,22366
4,145300,"[3, 10, 8, 2]",292,191,10574,18145
5,240300,"[3, 10, 8, 2, 4]",358,205,12121,20910
5,245300,"[3, 10, 8, 2, 0]",429,220,16900,24090
5,245300,"[3, 10, 8, 2, 5]",358,212,12124,22366
5,245300,"[3, 10, 8, 2, 6]",353,205,11756,20910
5,245300,"[3, 10, 8, 2, 7]",351,207,11849,21321
5,245300,"[3, 10, 8, 2, 9]",342,202,11442,20301
4,170300,"[3, 10, 8, 4]",254,180,7836,16110
4,180000,"[3, 10, 1, 2]",370,213,15844,22578
4,175300,"[3, 10, 8, 5]",254,182,7883,16471
4,175300,"[3, 10, 8, 0]",325,198,13317,19503
4,175300,"[3, 10, 8, 6]",249,177,7620,15576
4,220000,"[3, 10, 2, 6]",297,193,10611,18528
4,215000,"[3, 10, 2, 4]",302,193,10974,18528
3,120000,"[3, 10, 2]",236,172,9378,14706
4,175300,"[3, 10, 8, 7]",247,174,7504,15051
4,175300,"[3, 10, 8, 9]",238,178,7161,15753
3,110000,"[3, 10, 1]",266,186,12256,17205
4,220000,"[3, 10, 2, 0]",373,215,16285,23005
3,145000,"[3, 10, 4]",198,151,6519,11325
4,220000,"[3, 10, 2, 9]",286,185,10268,17020
4,205000,"[3, 10, 1, 4]",332,202,13620,20301
3,150000,"[3, 10, 5]",198,154,6585,11781
4,250000,"[3, 10, 0, 7]",328,200,13712,19900
4,220000,"[3, 10, 2, 5]",302,196,10986,19110
4,245000,"[3, 10, 4, 5]",264,182,8368,16471
4,250000,"[3, 10, 0, 6]",330,200,13852,19900
4,245000,"[3, 10, 4, 7]",257,172,7905,14706
4,245000,"[3, 10, 4, 6]",259,178,8099,15753
4,220000,"[3, 10, 2, 7]",295,197,10728,19306
4,210000,"[3, 10, 1, 5]",332,203,13636,20503
4,210000,"[3, 10, 1, 7]",325,198,13340,19503
4,245000,"[3, 10, 4, 0]",335,202,13729,20301
3,150000,"[3, 10, 0]",269,188,12598,17578
4,250000,"[3, 10, 0, 5]",335,205,14129,20910
4,245000,"[3, 10, 4, 9]",248,170,7537,14365
4,210000,"[3, 10, 1, 0]",403,210,16647,21945
4,210000,"[3, 10, 1, 6]",327,204,13585,20706
4,210000,"[3, 10, 1, 9]",316,200,13102,19900
4,250000,"[3, 10, 5, 6]",259,177,8048,15576
4,250000,"[3, 10, 5, 7]",257,181,8074,16290
4,250000,"[3, 10, 0, 9]",319,206,13462,21115
3,150000,"[3, 10, 6]",193,150,6308,11175
4,250000,"[3, 10, 5, 9]",248,176,7647,15400
4,250000,"[3, 10, 7, 9]",241,174,7281,15051
2,50300,"[3, 8]",145,126,5285,7875
3,150000,"[3, 10, 9]",182,147,5820,10731
3,150000,"[3, 10, 7]",191,150,6216,11175
4,210300,"[3, 8, 1, 5]",345,206,14013,21115
4,210300,"[3, 8, 1, 6]",340,211,13997,22155
4,250000,"[3, 10, 6, 9]",243,175,7424,15225
4,220300,"[3, 8, 2, 6]",310,196,11181,19110
3,110300,"[3, 8, 1]",279,190,12661,17955
4,210300,"[3, 8, 1, 7]",338,197,13709,19306
4,180300,"[3, 8, 1, 2]",383,217,16245,23436
4,205300,"[3, 8, 1, 4]",345,206,14014,21115
4,210300,"[3, 8, 1, 0]",416,206,16729,21115
4,220300,"[3, 8, 2, 0]",386,217,16497,23436
4,215300,"[3, 8, 2, 4]",315,198,11552,19503
3,150300,"[3, 8, 0]",282,187,12777,17391
4,220300,"[3, 8, 2, 9]",299,197,10853,19306
3,120300,"[3, 8, 2]",249,181,9975,16290
4,210300,"[3, 8, 1, 9]",329,203,13489,20503
4,245300,"[3, 8, 4, 0]",348,200,13896,19900
4,220300,"[3, 8, 2, 5]",315,205,11555,20910
4,245300,"[3, 8, 4, 7]",270,180,8461,16110
4,250000,"[3, 10, 6, 7]",252,178,7759,15753
3,145300,"[3, 8, 4]",211,161,7105,12880
