subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,4500,[5],264,264,34716,34716
2,9500,"[5, 9]",450,387,49968,74691
5,35500,"[5, 9, 7, 0, 1]",1313,655,144664,214185
3,15500,"[5, 9, 7]",652,468,65709,109278
4,25500,"[5, 9, 7, 0]",1014,606,117300,183315
5,35500,"[5, 9, 7, 0, 3]",1285,642,138035,205761
4,25500,"[5, 9, 7, 1]",951,592,102536,174936
4,25500,"[5, 9, 7, 8]",850,546,81681,148785
5,35500,"[5, 9, 7, 0, 8]",1212,628,128161,196878
5,38000,"[5, 9, 7, 1, 6]",1200,627,120637,196251
4,25500,"[5, 9, 7, 3]",923,579,95701,167331
5,38000,"[5, 9, 7, 3, 6]",1172,614,114617,188191
5,38000,"[5, 9, 7, 0, 6]",1263,634,134356,200661
5,35500,"[5, 9, 7, 1, 3]",1222,642,127774,205761
5,35500,"[5, 9, 7, 1, 8]",1149,633,115904,200028
5,39500,"[5, 9, 0, 3, 8]",1281,642,136616,205761
3,19500,"[5, 9, 0]",812,562,104078,157641
5,35500,"[5, 9, 7, 3, 8]",1121,624,109919,194376
4,28000,"[5, 9, 7, 6]",901,543,87659,147153
4,30500,"[5, 9, 7, 4]",922,579,94973,167331
4,29500,"[5, 9, 0, 1]",1111,639,133868,203841
3,19500,"[5, 9, 1]",749,554,89373,153181
5,38000,"[5, 9, 7, 8, 6]",1099,597,102619,177906
4,29500,"[5, 9, 0, 3]",1083,620,126583,191890
3,19500,"[5, 9, 3]",721,540,82192,145530
4,29500,"[5, 9, 0, 8]",1010,598,115415,178503
4,32000,"[5, 9, 1, 6]",998,604,109692,182106
5,39500,"[5, 9, 0, 1, 3]",1382,660,152667,217470
4,32000,"[5, 9, 0, 6]",1061,614,123625,188191
4,34500,"[5, 9, 0, 4]",1082,618,126659,190653
4,34500,"[5, 9, 1, 4]",1019,618,114162,190653
4,29500,"[5, 9, 3, 8]",919,598,96877,178503
4,29500,"[5, 9, 1, 3]",1020,631,116691,198765
3,22000,"[5, 9, 6]",699,496,74570,122760
4,30500,"[5, 7, 0, 1]",1127,640,135605,204480
3,34500,"[5, 9, 2]",726,526,82098,138075
5,39500,"[5, 9, 1, 3, 8]",1218,656,128794,214840
4,32000,"[5, 9, 3, 6]",970,595,103610,176715
2,10500,"[5, 7]",466,399,52806,79401
3,19500,"[5, 9, 8]",648,485,66443,117370
3,24500,"[5, 9, 4]",720,527,80593,138601
4,34500,"[5, 9, 3, 4]",991,616,108699,189420
4,32000,"[5, 9, 8, 6]",897,565,90008,159330
4,37000,"[5, 9, 6, 4]",969,582,101916,169071
3,20500,"[5, 7, 0]",828,578,106849,166753
5,39500,"[5, 9, 0, 1, 8]",1309,650,143036,210925
4,30500,"[5, 7, 0, 3]",1099,628,128722,196878
4,34500,"[5, 9, 8, 4]",918,582,94732,169071
4,35500,"[5, 7, 8, 4]",934,587,97420,171991
3,20500,"[5, 7, 1]",765,557,91322,154846
4,30500,"[5, 7, 0, 8]",1026,613,118293,187578
4,33000,"[5, 7, 0, 6]",1077,616,125354,189420
3,20500,"[5, 7, 3]",737,538,84155,144453
4,35500,"[5, 7, 0, 4]",1098,624,129135,194376
4,30500,"[5, 7, 1, 8]",963,611,105268,186355
4,33000,"[5, 7, 1, 6]",1014,607,110937,183921
4,30500,"[5, 7, 1, 3]",1036,623,117839,193753
4,35500,"[5, 7, 1, 4]",1035,620,115974,191890
4,30500,"[5, 7, 3, 8]",935,598,98973,178503
3,20500,"[5, 7, 8]",664,497,69405,123256
2,14500,"[5, 0]",626,494,91411,121771
3,23000,"[5, 7, 6]",715,497,76369,123256
3,25500,"[5, 7, 4]",736,532,83165,141246
4,35500,"[5, 7, 3, 4]",1007,609,110399,185136
3,24500,"[5, 0, 1]",925,599,122729,179101
3,35500,"[5, 7, 2]",742,539,84951,144991
4,33000,"[5, 7, 8, 6]",913,566,91923,159895
4,33000,"[5, 7, 3, 6]",986,588,104621,172578
4,38000,"[5, 7, 6, 4]",985,585,103503,170820
4,34500,"[5, 0, 1, 8]",1123,623,132480,193753
3,24500,"[5, 0, 3]",897,575,115126,165025
4,29500,"[5, 9, 1, 8]",947,604,103130,182106
4,37000,"[5, 0, 1, 6]",1174,642,140452,205761
4,39500,"[5, 0, 8, 4]",1094,610,125385,185745
4,39500,"[5, 0, 1, 4]",1195,636,141755,201930
4,34500,"[5, 0, 3, 8]",1095,614,125769,188191
3,24500,"[5, 0, 8]",824,552,103385,152076
4,37000,"[5, 0, 3, 6]",1146,622,133805,193131
4,39500,"[5, 0, 3, 4]",1167,609,135154,185136
3,27000,"[5, 0, 6]",875,579,112881,167331
4,37000,"[5, 0, 8, 6]",1073,615,123902,188805
2,14500,"[5, 1]",563,481,75946,115440
3,39500,"[5, 1, 2]",839,596,105776,177310
4,39500,"[5, 1, 3, 4]",1104,630,126873,198135
3,29500,"[5, 1, 4]",833,570,101905,162165
4,34500,"[5, 0, 1, 3]",1196,636,142675,201930
4,37000,"[5, 1, 3, 6]",1083,625,123889,195000
3,29500,"[5, 0, 4]",896,572,115113,163306
3,24500,"[5, 1, 3]",834,586,104621,171405
3,39500,"[5, 0, 2]",902,580,116752,167910
3,24500,"[5, 1, 8]",761,551,90330,151525
2,14500,"[5, 3]",535,458,68375,104653
4,34500,"[5, 1, 3, 8]",1032,626,117324,195625
4,37000,"[5, 1, 8, 6]",1010,610,111622,185745
3,27000,"[5, 1, 6]",812,564,98233,158766
4,39500,"[5, 1, 8, 4]",1031,613,114249,187578
3,24500,"[5, 3, 8]",733,541,83715,146070
4,33500,"[9, 7, 0, 6]",999,601,114885,180300
1,5000,[9],186,186,17205,17205
2,14500,"[5, 8]",462,393,51873,77028
3,39500,"[5, 3, 2]",811,558,96620,155403
3,39500,"[5, 8, 2]",738,523,83363,136503
2,17000,"[5, 6]",513,421,61406,88410
3,27000,"[5, 3, 6]",784,550,91815,150975
2,19500,"[5, 4]",534,439,66566,96141
2,11000,"[9, 7]",388,317,35021,50086
4,39500,"[5, 3, 8, 4]",1003,601,109043,180300
4,37000,"[5, 3, 8, 6]",982,605,106154,182710
3,29500,"[5, 3, 4]",805,556,95990,154290
3,32000,"[5, 6, 4]",783,536,89926,143380
3,27000,"[5, 8, 6]",711,513,77490,131328
3,21000,"[9, 7, 0]",750,543,94720,147153
2,29500,"[5, 2]",540,449,68571,100576
3,29500,"[5, 8, 4]",732,521,81373,135460
3,21000,"[9, 7, 3]",659,475,67729,112575
3,21000,"[9, 7, 8]",586,454,53315,102831
