subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,45000,[0],315,315,49455,49455
2,90000,"[0, 1]",613,563,92483,158203
3,135000,"[0, 1, 2]",899,687,125237,235641
4,180000,"[0, 1, 2, 3]",1173,804,155375,322806
4,180000,"[0, 1, 2, 4]",1151,816,152904,332520
4,180000,"[0, 1, 2, 5]",1130,727,140189,263901
4,180000,"[0, 1, 2, 6]",1124,765,144752,292230
4,180000,"[0, 1, 2, 7]",1093,739,137016,272691
3,135000,"[0, 1, 3]",887,729,126197,265356
4,180000,"[0, 1, 2, 8]",1027,738,131437,271953
4,180000,"[0, 1, 2, 9]",1025,720,131052,258840
4,180000,"[0, 1, 2, 10]",997,708,128533,250278
4,180000,"[0, 1, 3, 4]",1139,836,152190,349030
4,180000,"[0, 1, 3, 5]",1118,785,144405,307720
4,180000,"[0, 1, 5, 9]",970,677,117613,228826
4,180000,"[0, 1, 3, 6]",1112,810,146755,327645
3,135000,"[0, 1, 6]",838,678,114182,229503
3,135000,"[0, 1, 7]",807,657,108165,215496
3,135000,"[0, 1, 4]",865,734,122374,269011
4,180000,"[0, 1, 3, 8]",1015,778,132687,302253
3,135000,"[0, 1, 8]",741,632,99492,199396
4,180000,"[0, 1, 3, 7]",1081,781,139686,304590
4,180000,"[0, 1, 3, 9]",1013,770,132218,296065
4,180000,"[0, 1, 8, 9]",867,682,105936,232221
4,180000,"[0, 1, 6, 9]",964,706,119399,248865
4,180000,"[0, 1, 6, 7]",1032,754,129216,283881
4,180000,"[0, 1, 3, 10]",985,754,129537,283881
4,180000,"[0, 1, 6, 8]",966,733,120860,268278
4,180000,"[0, 1, 7, 10]",905,683,111559,232903
4,180000,"[0, 1, 7, 9]",933,700,114382,244650
4,180000,"[0, 1, 6, 10]",936,696,116968,241860
4,180000,"[0, 1, 7, 8]",935,705,114734,248160
4,180000,"[0, 1, 4, 5]",1096,795,140956,315615
4,180000,"[0, 1, 4, 6]",1090,822,143086,337431
4,180000,"[0, 1, 4, 10]",963,759,125726,287661
3,135000,"[0, 1, 5]",844,649,112216,210276
4,180000,"[0, 1, 4, 9]",991,770,128459,296065
