subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,1,[0],281,281,39340,39340
2,2,"[0, 1]",559,448,71738,100128
3,3,"[0, 1, 2]",825,518,94503,133903
4,4,"[0, 1, 2, 3]",1076,538,110427,144453
5,5,"[0, 1, 2, 3, 4]",1275,548,119624,149878
5,5,"[0, 1, 2, 3, 5]",1223,544,115089,147696
6,6,"[0, 1, 2, 3, 4, 5]",1422,550,123483,150975
6,6,"[0, 1, 2, 3, 5, 7]",1295,549,116170,150426
6,6,"[0, 1, 2, 3, 4, 6]",1367,548,121492,149878
6,6,"[0, 1, 2, 3, 4, 7]",1347,548,120641,149878
7,7,"[0, 1, 2, 3, 4, 5, 7]",1494,550,124491,150975
5,5,"[0, 1, 2, 5, 7]",1044,543,101197,147153
6,6,"[0, 1, 2, 5, 6, 7]",1136,546,103766,148785
7,7,"[0, 1, 2, 3, 4, 6, 7]",1439,548,122484,149878
8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",1586,550,126304,150975
5,5,"[0, 1, 2, 4, 5]",1171,543,109352,147153
7,7,"[0, 1, 2, 3, 4, 5, 6]",1514,550,125321,150975
4,4,"[0, 1, 2, 4]",1024,539,104961,144991
5,5,"[0, 1, 2, 3, 6]",1168,547,112686,149331
5,5,"[0, 1, 2, 5, 6]",1064,544,102337,147696
4,4,"[0, 1, 2, 6]",917,531,97140,140715
5,5,"[0, 1, 2, 3, 7]",1148,543,111517,147153
6,6,"[0, 1, 2, 3, 5, 6]",1315,550,117315,150975
5,5,"[0, 1, 2, 4, 6]",1116,543,107207,147153
5,5,"[0, 1, 2, 4, 7]",1096,541,106360,146070
5,5,"[0, 1, 2, 6, 7]",989,534,98578,142311
6,6,"[0, 1, 2, 4, 5, 6]",1263,546,111568,148785
6,6,"[0, 1, 2, 3, 6, 7]",1240,547,113741,149331
6,6,"[0, 1, 2, 4, 5, 7]",1243,544,110742,147696
7,7,"[0, 1, 2, 3, 5, 6, 7]",1387,550,118361,150975
4,4,"[0, 1, 2, 5]",972,535,99733,142845
7,7,"[0, 1, 2, 4, 5, 6, 7]",1335,546,112933,148785
6,6,"[0, 1, 2, 4, 6, 7]",1188,544,108581,147696
3,3,"[0, 1, 3]",810,508,91534,128778
5,5,"[0, 1, 4, 6, 7]",922,531,89088,140715
4,4,"[0, 1, 4, 5]",905,528,91543,139128
4,4,"[0, 1, 2, 7]",897,527,95976,138601
4,4,"[0, 1, 3, 4]",1009,544,103358,147696
4,4,"[0, 1, 3, 7]",882,518,92741,133903
4,4,"[0, 1, 3, 5]",957,532,98473,141246
5,5,"[0, 1, 3, 4, 7]",1081,547,104491,149331
3,3,"[0, 1, 4]",758,509,84914,129286
5,5,"[0, 1, 3, 4, 5]",1156,549,109389,150426
5,5,"[0, 1, 3, 5, 6]",1049,548,101125,149878
5,5,"[0, 1, 3, 4, 6]",1101,546,105616,148785
4,4,"[0, 1, 3, 6]",902,528,94219,139128
5,5,"[0, 1, 3, 5, 7]",1029,540,99670,145530
3,3,"[0, 1, 5]",706,495,79311,122265
6,6,"[0, 1, 3, 4, 5, 6]",1248,550,111617,150975
5,5,"[0, 1, 3, 6, 7]",974,532,95391,141246
