subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
2,75150,"[1, 6]",1010,978,306008,477753
1,35000,[1],733,733,268278,268278
7,635450,"[1, 6, 8, 4, 5, 2, 0]",3965,2414,1541322,2912491
3,125150,"[1, 6, 8]",1214,1154,326516,665281
4,191150,"[1, 6, 8, 4]",1550,1413,381552,997578
5,260450,"[1, 6, 8, 4, 5]",1865,1622,429278,1314631
5,266150,"[1, 6, 8, 4, 2]",2223,1831,598058,1675365
6,335450,"[1, 6, 8, 4, 5, 2]",2538,1974,643639,1947351
6,380450,"[1, 6, 8, 4, 5, 9]",2058,1733,446945,1500778
6,433450,"[1, 6, 8, 4, 5, 3]",2350,1935,543122,1871145
6,560450,"[1, 6, 8, 4, 5, 0]",3292,2309,1357342,2664586
7,455450,"[1, 6, 8, 4, 5, 2, 9]",2731,2061,661030,2122830
7,508450,"[1, 6, 8, 4, 5, 2, 3]",3023,2226,755653,2476425
7,553450,"[1, 6, 8, 4, 5, 9, 3]",2543,2039,560768,2077741
7,635450,"[1, 6, 8, 4, 5, 2, 7]",2749,2113,665287,2231328
7,680450,"[1, 6, 8, 4, 5, 9, 7]",2269,1879,468691,1764381
7,733450,"[1, 6, 8, 4, 5, 3, 7]",2561,2079,564845,2160081
7,680450,"[1, 6, 8, 4, 5, 9, 0]",3485,2353,1372731,2767128
8,755450,"[1, 6, 8, 4, 5, 2, 9, 0]",4158,2434,1556435,2960961
8,808450,"[1, 6, 8, 4, 5, 2, 3, 0]",4450,2435,1626771,2963395
8,628450,"[1, 6, 8, 4, 5, 2, 9, 3]",3216,2306,773023,2657665
8,755450,"[1, 6, 8, 4, 5, 2, 9, 7]",2942,2189,682623,2394766
7,733450,"[1, 6, 8, 4, 5, 3, 0]",3777,2391,1444621,2857245
7,860450,"[1, 6, 8, 4, 5, 0, 7]",3503,2353,1372815,2767128
8,808450,"[1, 6, 8, 4, 5, 2, 3, 7]",3234,2352,777223,2764776
8,853450,"[1, 6, 8, 4, 5, 9, 3, 7]",2754,2172,582436,2357706
8,935450,"[1, 6, 8, 4, 5, 2, 0, 7]",4176,2440,1556642,2975580
8,853450,"[1, 6, 8, 4, 5, 9, 3, 0]",3970,2428,1459989,2946378
9,928450,"[1, 6, 8, 4, 5, 2, 9, 3, 7]",3427,2421,794538,2929410
8,980450,"[1, 6, 8, 4, 5, 9, 0, 7]",3696,2386,1388149,2845305
9,928450,"[1, 6, 8, 4, 5, 2, 9, 3, 0]",4643,2448,1641863,2995128
6,386150,"[1, 6, 8, 4, 2, 9]",2416,1925,615470,1851850
6,560450,"[1, 6, 8, 4, 5, 7]",2076,1779,451079,1581531
8,859150,"[1, 6, 8, 4, 2, 9, 3, 0]",4328,2440,1600591,2975580
7,559150,"[1, 6, 8, 4, 2, 9, 3]",2901,2218,728591,2458653
8,859150,"[1, 6, 8, 4, 2, 9, 3, 7]",3112,2340,750127,2736630
7,686150,"[1, 6, 8, 4, 2, 9, 0]",3843,2378,1514035,2826253
6,439150,"[1, 6, 8, 4, 2, 3]",2708,2131,711200,2269515
8,986150,"[1, 6, 8, 4, 2, 9, 0, 7]",4054,2400,1529321,2878800
5,311150,"[1, 6, 8, 4, 9]",1743,1531,399240,1171215
6,484150,"[1, 6, 8, 4, 9, 3]",2228,1885,514191,1775670
7,686150,"[1, 6, 8, 4, 2, 9, 7]",2627,2060,637084,2120770
6,566150,"[1, 6, 8, 4, 2, 0]",3650,2351,1498901,2762425
4,194450,"[1, 6, 8, 5]",1529,1394,374707,970921
5,364150,"[1, 6, 8, 4, 3]",2035,1774,496524,1572651
6,566150,"[1, 6, 8, 4, 2, 7]",2434,1977,619727,1953276
5,491150,"[1, 6, 8, 4, 0]",2977,2180,1312776,2375110
7,739150,"[1, 6, 8, 4, 2, 3, 0]",4135,2420,1585478,2926990
5,491150,"[1, 6, 8, 4, 7]",1761,1577,403374,1242676
7,739150,"[1, 6, 8, 4, 2, 3, 7]",2919,2264,732791,2561716
6,611150,"[1, 6, 8, 4, 9, 0]",3170,2231,1328186,2487565
6,611150,"[1, 6, 8, 4, 9, 7]",1954,1684,421007,1417086
6,664150,"[1, 6, 8, 4, 3, 7]",2246,1925,518268,1851850
5,269450,"[1, 6, 8, 5, 2]",2202,1819,591696,1653471
7,866150,"[1, 6, 8, 4, 2, 0, 7]",3861,2384,1514242,2840536
6,664150,"[1, 6, 8, 4, 3, 0]",3462,2310,1401183,2666895
7,784150,"[1, 6, 8, 4, 9, 3, 7]",2439,2025,535880,2049300
6,791150,"[1, 6, 8, 4, 0, 7]",3188,2231,1328270,2487565
7,784150,"[1, 6, 8, 4, 9, 3, 0]",3655,2354,1416572,2769481
6,389450,"[1, 6, 8, 5, 2, 9]",2395,1913,609108,1828828
7,911150,"[1, 6, 8, 4, 9, 0, 7]",3381,2271,1343625,2577585
7,964150,"[1, 6, 8, 4, 3, 0, 7]",3673,2348,1416599,2755378
