subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,40000,[2],417,417,86736,86736
2,80000,"[2, 10]",534,513,93312,131328
4,169200,"[2, 10, 1, 3]",1336,1114,248348,619941
5,231545,"[2, 10, 1, 3, 7]",1533,1246,267074,775635
6,296895,"[2, 10, 1, 3, 7, 9]",1701,1334,280406,889111
3,124000,"[2, 10, 1]",960,878,182475,385003
7,371441,"[2, 10, 1, 3, 7, 9, 4]",2043,1466,334210,1073845
8,446441,"[2, 10, 1, 3, 7, 9, 4, 5]",2360,1553,379781,1205128
9,536041,"[2, 10, 1, 3, 7, 9, 4, 5, 11]",2426,1582,381843,1250571
10,640653,"[2, 10, 1, 3, 7, 9, 4, 5, 11, 8]",2621,1620,398523,1311390
11,910653,"[2, 10, 1, 3, 7, 9, 4, 5, 11, 8, 6]",2851,1683,420961,1415403
10,836041,"[2, 10, 1, 3, 7, 9, 4, 5, 11, 0]",2926,1671,490641,1395285
10,806041,"[2, 10, 1, 3, 7, 9, 4, 5, 11, 6]",2656,1661,404401,1378630
11,940653,"[2, 10, 1, 3, 7, 9, 4, 5, 11, 8, 0]",3121,1687,507090,1422141
10,821053,"[2, 10, 1, 3, 7, 9, 4, 5, 8, 6]",2785,1664,418944,1383616
10,851053,"[2, 10, 1, 3, 7, 9, 4, 5, 8, 0]",3055,1687,505244,1422141
10,865653,"[2, 10, 1, 3, 7, 9, 4, 11, 8, 0]",2804,1674,462800,1400301
9,731041,"[2, 10, 1, 3, 7, 9, 4, 11, 6]",2339,1593,358923,1268028
8,476053,"[2, 10, 1, 3, 7, 9, 4, 8]",2238,1536,351166,1178880
9,761041,"[2, 10, 1, 3, 7, 9, 4, 11, 0]",2609,1636,446120,1337430
9,551053,"[2, 10, 1, 3, 7, 9, 4, 5, 8]",2555,1601,396506,1280800
9,776053,"[2, 10, 1, 3, 7, 9, 4, 8, 0]",2738,1668,460939,1390278
9,746053,"[2, 10, 1, 3, 7, 9, 4, 8, 6]",2468,1612,373682,1298466
8,671441,"[2, 10, 1, 3, 7, 9, 4, 0]",2543,1620,444214,1311390
8,461495,"[2, 10, 1, 3, 7, 9, 5, 11]",2084,1524,330271,1160526
7,371895,"[2, 10, 1, 3, 7, 9, 5]",2018,1488,328188,1106328
9,716441,"[2, 10, 1, 3, 7, 9, 4, 5, 6]",2590,1632,402339,1330896
8,461041,"[2, 10, 1, 3, 7, 9, 4, 11]",2109,1501,336287,1125750
9,566107,"[2, 10, 1, 3, 7, 9, 5, 11, 8]",2279,1576,347042,1241100
9,565653,"[2, 10, 1, 3, 7, 9, 4, 11, 8]",2304,1561,353198,1217580
9,746441,"[2, 10, 1, 3, 7, 9, 4, 5, 0]",2860,1661,488750,1378630
8,641441,"[2, 10, 1, 3, 7, 9, 4, 6]",2273,1558,356846,1212903
10,835653,"[2, 10, 1, 3, 7, 9, 4, 11, 8, 6]",2534,1637,375714,1339066
9,941441,"[2, 10, 1, 3, 7, 9, 4, 6, 0]",2773,1649,464897,1358776
6,306091,"[2, 10, 1, 3, 7, 4]",1875,1400,321109,979300
7,386495,"[2, 10, 1, 3, 7, 9, 11]",1767,1376,282504,946000
7,401507,"[2, 10, 1, 3, 7, 9, 8]",1896,1418,297453,1004653
8,671895,"[2, 10, 1, 3, 7, 9, 5, 0]",2518,1630,437718,1327635
7,566895,"[2, 10, 1, 3, 7, 9, 6]",1931,1436,303087,1030330
7,596895,"[2, 10, 1, 3, 7, 9, 0]",2201,1522,390971,1157481
8,476507,"[2, 10, 1, 3, 7, 9, 5, 8]",2213,1550,345004,1200475
7,381091,"[2, 10, 1, 3, 7, 4, 5]",2192,1501,366771,1125750
9,731495,"[2, 10, 1, 3, 7, 9, 5, 11, 6]",2314,1613,352874,1300078
10,836107,"[2, 10, 1, 3, 7, 9, 5, 11, 8, 6]",2509,1649,369525,1358776
8,641895,"[2, 10, 1, 3, 7, 9, 5, 6]",2248,1577,350791,1242676
8,491107,"[2, 10, 1, 3, 7, 9, 11, 8]",1962,1450,299506,1050525
8,701507,"[2, 10, 1, 3, 7, 9, 8, 0]",2396,1584,407787,1253736
8,470691,"[2, 10, 1, 3, 7, 4, 5, 11]",2258,1531,368833,1171215
8,656495,"[2, 10, 1, 3, 7, 9, 11, 6]",1997,1478,305185,1091503
8,671507,"[2, 10, 1, 3, 7, 9, 8, 6]",2126,1504,320014,1130256
8,686495,"[2, 10, 1, 3, 7, 9, 11, 0]",2267,1545,392898,1192740
9,761495,"[2, 10, 1, 3, 7, 9, 5, 11, 0]",2584,1647,439630,1355481
8,866895,"[2, 10, 1, 3, 7, 9, 6, 0]",2431,1561,411699,1217580
9,746507,"[2, 10, 1, 3, 7, 9, 5, 8, 6]",2443,1623,367487,1316253
10,866107,"[2, 10, 1, 3, 7, 9, 5, 11, 8, 0]",2779,1677,456170,1405326
9,941895,"[2, 10, 1, 3, 7, 9, 5, 6, 0]",2748,1656,458368,1370340
9,791107,"[2, 10, 1, 3, 7, 9, 11, 8, 0]",2462,1597,409669,1274406
9,761107,"[2, 10, 1, 3, 7, 9, 11, 8, 6]",2192,1536,322067,1178880
9,776507,"[2, 10, 1, 3, 7, 9, 5, 8, 0]",2713,1670,454303,1393615
9,971507,"[2, 10, 1, 3, 7, 9, 8, 6, 0]",2626,1607,428395,1290421
9,956495,"[2, 10, 1, 3, 7, 9, 11, 6, 0]",2497,1584,413626,1253736
9,740691,"[2, 10, 1, 3, 7, 4, 5, 11, 6]",2488,1623,391469,1316253
9,575303,"[2, 10, 1, 3, 7, 4, 5, 11, 8]",2453,1576,385534,1241100
9,770691,"[2, 10, 1, 3, 7, 4, 5, 11, 0]",2758,1638,477784,1340703
10,845303,"[2, 10, 1, 3, 7, 4, 5, 11, 8, 6]",2683,1652,408050,1363726
10,875303,"[2, 10, 1, 3, 7, 4, 5, 11, 8, 0]",2953,1661,494254,1378630
8,485703,"[2, 10, 1, 3, 7, 4, 5, 8]",2387,1556,383517,1209790
7,395691,"[2, 10, 1, 3, 7, 4, 11]",1941,1436,323186,1030330
6,306545,"[2, 10, 1, 3, 7, 5]",1850,1414,314947,998991
8,651091,"[2, 10, 1, 3, 7, 4, 5, 6]",2422,1593,389407,1268028
7,576091,"[2, 10, 1, 3, 7, 4, 6]",2105,1505,343823,1131760
8,681091,"[2, 10, 1, 3, 7, 4, 5, 0]",2692,1627,475893,1322751
7,606091,"[2, 10, 1, 3, 7, 4, 0]",2375,1572,431266,1234806
7,410703,"[2, 10, 1, 3, 7, 4, 8]",2070,1477,338086,1090026
9,755703,"[2, 10, 1, 3, 7, 4, 5, 8, 6]",2617,1632,406033,1330896
8,500303,"[2, 10, 1, 3, 7, 4, 11, 8]",2136,1503,340118,1128753
7,396145,"[2, 10, 1, 3, 7, 5, 11]",1916,1451,317030,1051975
8,665691,"[2, 10, 1, 3, 7, 4, 11, 6]",2171,1541,345900,1186570
9,785703,"[2, 10, 1, 3, 7, 4, 5, 8, 0]",2887,1660,492408,1376970
9,951091,"[2, 10, 1, 3, 7, 4, 5, 6, 0]",2922,1656,496576,1370340
8,695691,"[2, 10, 1, 3, 7, 4, 11, 0]",2441,1589,433172,1261666
7,411157,"[2, 10, 1, 3, 7, 5, 8]",2045,1483,331784,1098903
8,680703,"[2, 10, 1, 3, 7, 4, 8, 6]",2300,1566,360680,1225395
8,710703,"[2, 10, 1, 3, 7, 4, 8, 0]",2570,1627,448012,1322751
8,876091,"[2, 10, 1, 3, 7, 4, 6, 0]",2605,1614,452027,1301691
9,770303,"[2, 10, 1, 3, 7, 4, 11, 8, 6]",2366,1592,362712,1266436
9,965691,"[2, 10, 1, 3, 7, 4, 11, 6, 0]",2671,1631,453933,1329265
9,800303,"[2, 10, 1, 3, 7, 4, 11, 8, 0]",2636,1634,449873,1334161
8,666145,"[2, 10, 1, 3, 7, 5, 11, 6]",2146,1553,339711,1205128
8,696145,"[2, 10, 1, 3, 7, 5, 11, 0]",2416,1592,426542,1266436
8,500757,"[2, 10, 1, 3, 7, 5, 11, 8]",2111,1510,333822,1139295
9,980703,"[2, 10, 1, 3, 7, 4, 8, 6, 0]",2800,1653,468653,1365378
8,681157,"[2, 10, 1, 3, 7, 5, 8, 6]",2275,1569,354345,1230096
9,770757,"[2, 10, 1, 3, 7, 5, 11, 8, 6]",2341,1596,356383,1272810
9,800757,"[2, 10, 1, 3, 7, 5, 11, 8, 0]",2611,1629,443103,1326006
9,966145,"[2, 10, 1, 3, 7, 5, 11, 6, 0]",2646,1631,447270,1329265
8,711157,"[2, 10, 1, 3, 7, 5, 8, 0]",2545,1621,441236,1313010
9,981157,"[2, 10, 1, 3, 7, 5, 8, 6, 0]",2775,1644,461844,1350546
6,321145,"[2, 10, 1, 3, 7, 11]",1599,1289,269172,830116
7,576545,"[2, 10, 1, 3, 7, 5, 6]",2080,1516,337628,1148370
5,234550,"[2, 10, 1, 3, 9]",1504,1227,261980,752151
7,606545,"[2, 10, 1, 3, 7, 5, 0]",2350,1574,424630,1237951
7,425757,"[2, 10, 1, 3, 7, 11, 8]",1794,1370,286195,937765
8,876545,"[2, 10, 1, 3, 7, 5, 6, 0]",2580,1613,445358,1300078
6,501545,"[2, 10, 1, 3, 7, 6]",1763,1361,289833,925480
6,336157,"[2, 10, 1, 3, 7, 8]",1728,1337,284142,893116
7,591145,"[2, 10, 1, 3, 7, 11, 6]",1829,1404,291931,984906
7,621145,"[2, 10, 1, 3, 7, 11, 0]",2099,1476,379719,1088550
6,531545,"[2, 10, 1, 3, 7, 0]",2033,1452,377792,1053426
6,309096,"[2, 10, 1, 3, 9, 4]",1846,1396,316450,973710
7,636157,"[2, 10, 1, 3, 7, 8, 0]",2228,1521,394629,1155960
7,606157,"[2, 10, 1, 3, 7, 8, 6]",1958,1436,306781,1030330
8,695757,"[2, 10, 1, 3, 7, 11, 8, 6]",2024,1469,308834,1078246
7,801545,"[2, 10, 1, 3, 7, 6, 0]",2263,1504,398598,1130256
7,384096,"[2, 10, 1, 3, 9, 4, 5]",2163,1518,362616,1151403
8,725757,"[2, 10, 1, 3, 7, 11, 8, 0]",2294,1535,396511,1177345
8,891145,"[2, 10, 1, 3, 7, 11, 6, 0]",2329,1528,400525,1166628
8,906157,"[2, 10, 1, 3, 7, 8, 6, 0]",2458,1557,415315,1211346
9,995757,"[2, 10, 1, 3, 7, 11, 8, 6, 0]",2524,1571,417197,1233235
8,473696,"[2, 10, 1, 3, 9, 4, 5, 11]",2229,1552,364688,1203576
9,578308,"[2, 10, 1, 3, 9, 4, 5, 11, 8]",2424,1602,381434,1282401
9,743696,"[2, 10, 1, 3, 9, 4, 5, 11, 6]",2459,1632,387246,1330896
8,488708,"[2, 10, 1, 3, 9, 4, 5, 8]",2358,1578,379407,1244253
9,773696,"[2, 10, 1, 3, 9, 4, 5, 11, 0]",2729,1657,473606,1371996
8,654096,"[2, 10, 1, 3, 9, 4, 5, 6]",2393,1598,385174,1276003
10,848308,"[2, 10, 1, 3, 9, 4, 5, 11, 8, 6]",2654,1666,403872,1386945
9,758708,"[2, 10, 1, 3, 9, 4, 5, 8, 6]",2588,1642,401845,1347261
9,788708,"[2, 10, 1, 3, 9, 4, 5, 8, 0]",2858,1680,488265,1410360
10,878308,"[2, 10, 1, 3, 9, 4, 5, 11, 8, 0]",2924,1685,490121,1418770
9,954096,"[2, 10, 1, 3, 9, 4, 5, 6, 0]",2893,1659,492310,1375311
7,398696,"[2, 10, 1, 3, 9, 4, 11]",1912,1436,318537,1030330
8,503308,"[2, 10, 1, 3, 9, 4, 11, 8]",2107,1508,335514,1136278
7,413708,"[2, 10, 1, 3, 9, 4, 8]",2041,1478,333472,1091503
8,684096,"[2, 10, 1, 3, 9, 4, 5, 0]",2663,1642,471705,1347261
6,309550,"[2, 10, 1, 3, 9, 5]",1821,1416,310357,1001820
8,668696,"[2, 10, 1, 3, 9, 4, 11, 6]",2142,1529,341173,1168156
7,579096,"[2, 10, 1, 3, 9, 4, 6]",2076,1489,339086,1107816
8,698696,"[2, 10, 1, 3, 9, 4, 11, 0]",2412,1587,428490,1258491
9,773308,"[2, 10, 1, 3, 9, 4, 11, 8, 6]",2337,1585,358030,1255320
7,399150,"[2, 10, 1, 3, 9, 5, 11]",1887,1457,312450,1060696
7,609096,"[2, 10, 1, 3, 9, 4, 0]",2346,1566,426574,1225395
9,803308,"[2, 10, 1, 3, 9, 4, 11, 8, 0]",2607,1637,445236,1339066
8,713708,"[2, 10, 1, 3, 9, 4, 8, 0]",2541,1626,443365,1321125
9,968696,"[2, 10, 1, 3, 9, 4, 11, 6, 0]",2642,1617,449173,1306536
8,683708,"[2, 10, 1, 3, 9, 4, 8, 6]",2271,1555,355988,1208235
8,879096,"[2, 10, 1, 3, 9, 4, 6, 0]",2576,1596,447257,1272810
8,503762,"[2, 10, 1, 3, 9, 5, 11, 8]",2082,1521,329287,1155960
9,983708,"[2, 10, 1, 3, 9, 4, 8, 6, 0]",2771,1640,463928,1343980
8,669150,"[2, 10, 1, 3, 9, 5, 11, 6]",2117,1547,335053,1195831
9,773762,"[2, 10, 1, 3, 9, 5, 11, 8, 6]",2312,1595,351770,1271215
7,414162,"[2, 10, 1, 3, 9, 5, 8]",2016,1490,327239,1109305
9,803762,"[2, 10, 1, 3, 9, 5, 11, 8, 0]",2582,1638,438535,1340703
6,324150,"[2, 10, 1, 3, 9, 11]",1570,1274,264088,810901
7,579550,"[2, 10, 1, 3, 9, 5, 6]",2051,1506,332960,1133265
8,699150,"[2, 10, 1, 3, 9, 5, 11, 0]",2387,1596,421929,1272810
9,969150,"[2, 10, 1, 3, 9, 5, 11, 6, 0]",2617,1623,442579,1316253
8,684162,"[2, 10, 1, 3, 9, 5, 8, 6]",2246,1564,349722,1222266
7,609550,"[2, 10, 1, 3, 9, 5, 0]",2321,1574,420007,1237951
8,714162,"[2, 10, 1, 3, 9, 5, 8, 0]",2516,1626,436658,1321125
