subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,6000,[8],145,145,10440,10440
2,26900,"[8, 4]",385,371,39029,68635
4,142500,"[8, 4, 7, 6]",727,515,60942,132355
3,66900,"[8, 4, 7]",543,484,50892,116886
4,156900,"[8, 4, 7, 0]",909,710,112449,251695
5,232500,"[8, 4, 7, 6, 3]",978,641,89094,205120
5,232500,"[8, 4, 7, 6, 0]",1093,729,122271,265356
5,246900,"[8, 4, 7, 0, 3]",1160,783,138129,306153
5,232500,"[8, 4, 7, 6, 2]",1010,662,96785,218791
5,246900,"[8, 4, 7, 0, 1]",1271,792,162672,313236
5,232500,"[8, 4, 7, 6, 1]",1089,676,117859,228150
5,232500,"[8, 4, 7, 6, 5]",936,584,78130,170236
5,246900,"[8, 4, 7, 0, 2]",1192,757,135083,286146
5,246900,"[8, 4, 7, 1, 2]",1188,744,139835,276396
5,246900,"[8, 4, 7, 0, 5]",1118,753,129175,283128
4,156900,"[8, 4, 7, 5]",752,562,68797,157641
4,156900,"[8, 4, 7, 1]",905,654,108234,213531
3,102500,"[8, 4, 6]",569,424,49594,89676
4,156900,"[8, 4, 7, 2]",826,644,86992,207046
4,156900,"[8, 4, 7, 3]",794,619,79292,191271
5,246900,"[8, 4, 7, 2, 3]",1077,733,114025,268278
4,192500,"[8, 4, 6, 0]",935,663,111352,219453
5,246900,"[8, 4, 7, 2, 5]",1035,696,104058,241860
5,246900,"[8, 4, 7, 3, 5]",1003,667,96397,222111
5,246900,"[8, 4, 7, 1, 5]",1114,690,123910,237705
5,246900,"[8, 4, 7, 1, 3]",1156,682,122532,232221
5,282500,"[8, 4, 6, 0, 1]",1297,781,162996,304590
5,282500,"[8, 4, 6, 0, 2]",1218,728,134486,264628
5,282500,"[8, 4, 6, 1, 5]",1140,691,125403,238395
5,282500,"[8, 4, 6, 0, 5]",1144,733,129512,268278
5,282500,"[8, 4, 6, 0, 3]",1186,751,137084,281625
5,282500,"[8, 4, 6, 1, 2]",1214,734,140420,269011
5,282500,"[8, 4, 6, 1, 3]",1182,666,122627,221445
4,192500,"[8, 4, 6, 1]",931,635,108377,201295
3,116900,"[8, 4, 0]",751,622,101015,193131
4,192500,"[8, 4, 6, 5]",778,537,68969,143916
5,282500,"[8, 4, 6, 2, 3]",1103,704,113284,247456
4,192500,"[8, 4, 6, 3]",820,573,78045,163878
4,206900,"[8, 4, 0, 3]",1002,719,126995,258121
4,206900,"[8, 4, 0, 2]",1034,699,124400,243951
4,206900,"[8, 4, 0, 1]",1113,752,153093,282376
4,211600,"[8, 7, 6, 3]",738,527,63718,138601
3,116900,"[8, 4, 2]",668,569,75908,161596
2,46000,"[8, 7]",303,283,22653,39903
5,282500,"[8, 4, 6, 3, 5]",1029,654,96613,213531
5,282500,"[8, 4, 6, 2, 5]",1061,685,104707,234270
4,206900,"[8, 4, 0, 5]",960,709,119928,250986
3,116900,"[8, 4, 5]",594,502,59157,125751
4,206900,"[8, 4, 1, 3]",998,634,112740,200661
4,206900,"[8, 4, 2, 3]",919,681,103240,231540
3,116900,"[8, 4, 3]",636,531,67729,140715
4,206900,"[8, 4, 1, 2]",1030,712,130561,253116
4,206900,"[8, 4, 2, 5]",877,665,95161,220780
4,206900,"[8, 4, 1, 5]",956,669,116026,223446
3,136000,"[8, 7, 0]",669,602,88860,180901
3,121600,"[8, 7, 6]",487,334,33087,55611
4,211600,"[8, 7, 6, 1]",849,588,95545,172578
4,211600,"[8, 7, 6, 2]",770,554,71929,153181
4,211600,"[8, 7, 6, 0]",853,636,99056,201930
4,206900,"[8, 4, 3, 5]",845,627,87047,196251
4,211600,"[8, 7, 6, 5]",696,434,51304,93961
4,226000,"[8, 7, 0, 1]",1031,759,144399,287661
4,192500,"[8, 4, 6, 2]",852,603,86201,181503
3,136000,"[8, 7, 1]",665,550,85542,150975
3,116900,"[8, 4, 1]",747,596,98247,177310
4,226000,"[8, 7, 0, 5]",878,675,106611,227475
4,226000,"[8, 7, 0, 2]",952,679,113461,230181
4,226000,"[8, 7, 0, 3]",920,735,116970,269745
4,226000,"[8, 7, 2, 5]",795,598,79828,178503
2,81600,"[8, 6]",329,220,21390,24090
4,261600,"[8, 6, 0, 3]",946,695,115950,241165
3,136000,"[8, 7, 5]",512,396,41593,78210
4,226000,"[8, 7, 1, 5]",874,609,102187,185136
4,226000,"[8, 7, 1, 3]",916,604,101335,182106
3,171600,"[8, 6, 0]",695,551,87794,151525
3,171600,"[8, 6, 1]",691,530,85729,140185
3,136000,"[8, 7, 2]",586,519,61755,134421
4,261600,"[8, 6, 0, 2]",978,645,112893,207690
3,136000,"[8, 7, 3]",554,489,53538,119316
4,226000,"[8, 7, 2, 3]",837,674,91263,226801
2,96000,"[8, 0]",511,493,77082,121278
4,226000,"[8, 7, 1, 2]",948,702,120054,246051
4,226000,"[8, 7, 3, 5]",763,567,71668,160461
4,261600,"[8, 6, 0, 5]",904,657,107018,215496
3,186000,"[8, 0, 1]",873,704,134491,247456
4,276000,"[8, 0, 3, 5]",971,740,124658,273430
3,171600,"[8, 6, 3]",580,436,52320,94830
3,171600,"[8, 6, 2]",612,474,60997,112101
3,171600,"[8, 6, 5]",538,374,41839,69751
4,261600,"[8, 6, 2, 5]",821,589,80549,173166
4,261600,"[8, 6, 2, 3]",863,637,90549,202566
4,261600,"[8, 6, 1, 5]",900,615,103763,188805
4,261600,"[8, 6, 1, 3]",942,583,101468,169653
4,261600,"[8, 6, 1, 2]",974,690,120681,237705
4,276000,"[8, 0, 1, 2]",1156,753,155818,283128
4,261600,"[8, 6, 0, 1]",1057,746,144763,277885
4,261600,"[8, 6, 3, 5]",789,553,71952,152628
4,276000,"[8, 0, 1, 5]",1082,773,152125,298378
4,276000,"[8, 0, 1, 3]",1124,732,148407,267546
2,96000,"[8, 1]",507,473,75220,111628
3,186000,"[8, 0, 5]",720,620,97065,191890
3,186000,"[8, 0, 2]",794,602,102435,180901
3,186000,"[8, 0, 3]",762,650,105492,210925
3,186000,"[8, 1, 2]",790,653,110446,212878
4,276000,"[8, 0, 2, 3]",1045,725,129638,262450
2,96000,"[8, 5]",354,321,31648,51360
4,276000,"[8, 1, 2, 3]",1041,691,125407,238395
2,96000,"[8, 2]",428,421,50322,88410
2,96000,"[8, 3]",396,376,41625,70500
3,186000,"[8, 1, 3]",758,537,91208,143916
3,186000,"[8, 1, 5]",716,579,94013,167331
4,276000,"[8, 0, 2, 5]",1003,703,121651,246753
4,276000,"[8, 1, 2, 5]",999,721,128346,259560
3,186000,"[8, 2, 3]",679,599,80129,179101
3,186000,"[8, 2, 5]",637,554,70627,153181
4,276000,"[8, 1, 3, 5]",967,627,109457,196251
3,150900,"[4, 7, 1]",760,571,98632,162735
1,20900,[4],240,240,28680,28680
3,186000,"[8, 3, 5]",605,512,62013,130816
2,60900,"[4, 7]",398,371,40732,68635
3,136500,"[4, 7, 6]",582,494,56602,121771
3,150900,"[4, 7, 3]",649,526,69322,138075
3,150900,"[4, 7, 0]",764,614,102442,188191
4,226500,"[4, 7, 6, 0]",948,719,118069,258121
4,276000,"[8, 2, 3, 5]",888,692,99614,239086
4,226500,"[4, 7, 6, 3]",833,630,84899,198135
4,226500,"[4, 7, 6, 5]",791,565,74031,159330
4,226500,"[4, 7, 6, 2]",865,646,92465,208335
4,226500,"[4, 7, 6, 1]",944,669,113957,223446
