subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
2,29600,"[2, 3]",144,107,4450,5671
1,12000,[2],74,74,2701,2701
3,74600,"[2, 3, 4]",196,112,4779,6216
4,144600,"[2, 3, 4, 0]",288,141,7625,9870
4,174600,"[2, 3, 4, 1]",273,130,6635,8385
4,183600,"[2, 3, 4, 6]",211,118,4848,6903
3,99600,"[2, 3, 0]",236,137,7312,9316
3,177000,"[2, 4, 7]",139,91,3306,4095
3,129600,"[2, 3, 1]",221,125,6309,7750
3,138600,"[2, 3, 6]",159,113,4519,6328
3,149600,"[2, 3, 5]",163,117,4589,6786
2,112000,"[2, 1]",151,115,4997,6555
3,149600,"[2, 3, 7]",157,109,4485,5886
2,57000,"[2, 4]",126,86,3247,3655
2,132000,"[2, 7]",87,82,2769,3321
3,127000,"[2, 4, 0]",218,136,6597,9180
3,177000,"[2, 4, 5]",145,97,3395,4656
3,166000,"[2, 4, 6]",141,92,3316,4186
2,82000,"[2, 0]",166,125,6067,7750
3,132600,"[3, 4, 0]",214,141,6692,9870
3,182600,"[3, 4, 5]",141,97,3293,4656
3,157000,"[2, 4, 1]",203,126,5533,7875
2,132000,"[2, 5]",93,86,2851,3655
2,137600,"[3, 5]",89,82,2565,3321
1,17600,[3],70,70,2415,2415
2,126600,"[3, 6]",85,76,2484,2850
2,137600,"[3, 7]",83,74,2457,2701
2,117600,"[3, 1]",147,116,4876,6670
2,154000,"[4, 6]",67,58,1395,1653
2,165000,"[4, 5]",71,68,1494,2278
3,182000,"[2, 0, 1]",243,130,6833,8385
1,70000,[0],92,92,4186,4186
3,162600,"[3, 4, 1]",199,130,5580,8385
3,171600,"[3, 4, 6]",137,93,3215,4278
2,179000,"[0, 6]",107,105,4290,5460
2,121000,"[2, 6]",89,82,2785,3321
2,115000,"[4, 0]",144,127,5376,8001
2,190000,"[0, 7]",105,103,4263,5253
2,145000,"[4, 1]",129,118,4197,6903
3,182600,"[3, 4, 7]",135,89,3181,3916
1,109000,[6],15,15,105,105
2,62600,"[3, 4]",122,87,3146,3741
2,170000,"[0, 1]",169,108,5282,5778
1,120000,[7],13,13,78,78
1,120000,[5],19,19,171,171
1,45000,[4],52,52,1326,1326
2,87600,"[3, 0]",162,127,6006,8001
3,187600,"[3, 0, 1]",239,133,6847,8778
2,190000,"[0, 5]",111,102,4321,5151
2,165000,"[4, 7]",65,60,1394,1770
1,100000,[1],77,77,2926,2926
